table_schema,table_name,column_name,data_type,character_maximum_length,is_primary_key,is_foreign_key,referenced_table,referenced_column
public,abasto_y_remanente_por_estado_2025,fecha,timestamp without time zone,,NO,NO,,
public,abasto_y_remanente_por_estado_2025,estado,character varying,20.0,NO,NO,,
public,abasto_y_remanente_por_estado_2025,dap_fletes_ton,numeric,,NO,NO,,
public,abasto_y_remanente_por_estado_2025,urea_fletes_ton,numeric,,NO,NO,,
public,abasto_y_remanente_por_estado_2025,dap_remanentes_ton,numeric,,NO,NO,,
public,abasto_y_remanente_por_estado_2025,urea_remanentes_ton,numeric,,NO,NO,,
public,abasto_y_remanente_por_estado_2025,total_recibido_2025_ton,numeric,,NO,NO,,
public,abasto_y_remanente_x_dia_2025,fecha,timestamp without time zone,,NO,NO,,
public,abasto_y_remanente_x_dia_2025,dap_fletes_ton,numeric,,NO,NO,,
public,abasto_y_remanente_x_dia_2025,urea_fletes_ton,numeric,,NO,NO,,
public,abasto_y_remanente_x_dia_2025,dap_remanentes_ton,numeric,,NO,NO,,
public,abasto_y_remanente_x_dia_2025,urea_remanentes_ton,numeric,,NO,NO,,
public,abasto_y_remanente_x_dia_2025,dap_transito_ton,numeric,,NO,NO,,
public,abasto_y_remanente_x_dia_2025,urea_transito_ton,numeric,,NO,NO,,
public,abasto_y_remanente_x_dia_2025,total_recibido_2025_ton,numeric,,NO,NO,,
public,abasto_y_remanente_x_dia_sin_transito_2025,fecha,timestamp without time zone,,NO,NO,,
public,abasto_y_remanente_x_dia_sin_transito_2025,dap_fletes_ton,numeric,,NO,NO,,
public,abasto_y_remanente_x_dia_sin_transito_2025,urea_fletes_ton,numeric,,NO,NO,,
public,abasto_y_remanente_x_dia_sin_transito_2025,dap_remanentes_ton,numeric,,NO,NO,,
public,abasto_y_remanente_x_dia_sin_transito_2025,urea_remanentes_ton,numeric,,NO,NO,,
public,abasto_y_remanente_x_dia_sin_transito_2025,total_recibido_2025_ton,numeric,,NO,NO,,
public,abasto_y_remanente_x_estado_2025,fecha,timestamp without time zone,,NO,NO,,
public,abasto_y_remanente_x_estado_2025,estado,character varying,20.0,NO,NO,,
public,abasto_y_remanente_x_estado_2025,dap_fletes_ton,numeric,,NO,NO,,
public,abasto_y_remanente_x_estado_2025,urea_fletes_ton,numeric,,NO,NO,,
public,abasto_y_remanente_x_estado_2025,dap_remanentes_ton,numeric,,NO,NO,,
public,abasto_y_remanente_x_estado_2025,urea_remanentes_ton,numeric,,NO,NO,,
public,abasto_y_remanente_x_estado_2025,total_recibido_2025_ton,numeric,,NO,NO,,
public,avances_2025,estado,character varying,20.0,NO,NO,,
public,avances_2025,derechohabientes_apoyados,bigint,,NO,NO,,
public,avances_2025,dap_ton_entregada,numeric,,NO,NO,,
public,avances_2025,urea_ton_entregada,numeric,,NO,NO,,
public,avances_2025,total_ton_entregada,numeric,,NO,NO,,
public,avances_2025,superficie_beneficiada,bigint,,NO,NO,,
public,derechohabientes,acuse_estatal,character varying,50.0,YES,NO,,
public,derechohabientes,clave_estado_predio_capturada,integer,,NO,NO,,
public,derechohabientes,estado_predio_capturada,character varying,50.0,NO,NO,,
public,derechohabientes,clave_municipio_predio_capturada,integer,,NO,NO,,
public,derechohabientes,municipio_predio_capturada,character varying,100.0,NO,NO,,
public,derechohabientes,clave_localidad_predio_capturada,integer,,NO,NO,,
public,derechohabientes,localidad_predio_capturada,character varying,100.0,NO,NO,,
public,derechohabientes,id_nu_solicitud,integer,,NO,NO,,
public,derechohabientes,cdf_entrega,character varying,100.0,NO,YES,red_distribucion,id_ceda_agricultura
public,derechohabientes,id_cdf_entrega,integer,,NO,NO,,
public,derechohabientes,curp_solicitud,character varying,20.0,NO,NO,,
public,derechohabientes,curp_renapo,character varying,20.0,NO,NO,,
public,derechohabientes,curp_historica,character varying,20.0,NO,NO,,
public,derechohabientes,sn_primer_apellido,character varying,50.0,NO,NO,,
public,derechohabientes,sn_segundo_apellido,character varying,50.0,NO,NO,,
public,derechohabientes,ln_nombre,character varying,50.0,NO,NO,,
public,derechohabientes,es_pob_indigena,character varying,10.0,NO,NO,,
public,derechohabientes,cultivo,character varying,50.0,NO,NO,,
public,derechohabientes,ton_dap_entregada,numeric,,NO,NO,,
